id	dataset	modified	collection.1	plant	type	family	subfamily	tribe	vernacularName	beeBibliographicCitation	pollinator	percentual	author	municipality	state	region	vegetalForm	reference	image.id	image.original	image.local	image.resized	image.thumbnail	image.credits
5c16775e0a2ce90015467183	1--i87_wNuoy6v2jQJsGxoG1OAnp2alFJFIsUyP12nCs	2018-12-16T16:03:42.711Z	0	Chamissoa altissima	visitedBy	Apidae	Apinae	Meliponini	Mocinha-branca, Marmelada amarela	JMF Camargo, SRM Pedro (2013) Meliponini Lepeletier, 1836. In Moure JS, Urban D & Melo GAR (Orgs). Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region - online version. Available at http://www.moure.cria.org.br/catalogue. Accessed Feb/07/2018| Pedro SRM, Camargo JMF (1999) Hymenoptera, Apiformes. In: Joly CA & Bicudo CEM (Orgs). Biodiversidade do Estado de São Paulo. Volume 5. BIOTA/FAPESP.| Nogueira-Neto P (1997) Vida e criação de abelhas indígenas sem ferrão. Editora Nogueirapis, São Paulo, 445p. 	Frieseomelitta varia	0.1	Aleixo et al	Ribeirão Preto	São Paulo	Sudeste	Área urbana	Aleixo KP, Faria LB, Garófalo CA, Imperatriz-Fonseca VL, Silva CI (2013) Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier) (Hymenoptera: Apidae) in an urban landscape. Sociobiology 6(3):266-276.	interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG	https://docs.google.com/uc?id=1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG	/images/interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG.jpeg	/resized/interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG.jpeg	/thumbnails/interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG.jpeg	Kátia Aleixo
5c16775e0a2ce90015467184	1--i87_wNuoy6v2jQJsGxoG1OAnp2alFJFIsUyP12nCs	2018-12-16T16:03:42.711Z	0	Thunbergia grandiflora	visitedBy	Apidae	Apinae	Meliponini	Mocinha-branca, Marmelada amarela	JMF Camargo, SRM Pedro (2013) Meliponini Lepeletier, 1836. In Moure JS, Urban D & Melo GAR (Orgs). Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region - online version. Available at http://www.moure.cria.org.br/catalogue. Accessed Feb/07/2018| Pedro SRM, Camargo JMF (1999) Hymenoptera, Apiformes. In: Joly CA & Bicudo CEM (Orgs). Biodiversidade do Estado de São Paulo. Volume 5. BIOTA/FAPESP.| Nogueira-Neto P (1997) Vida e criação de abelhas indígenas sem ferrão. Editora Nogueirapis, São Paulo, 445p. 	Frieseomelitta varia	14.34	Aleixo et al	Ribeirão Preto	São Paulo	Sudeste	Área urbana	Aleixo KP, Faria LB, Garófalo CA, Imperatriz-Fonseca VL, Silva CI (2013) Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier) (Hymenoptera: Apidae) in an urban landscape. Sociobiology 6(3):266-276.	interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG	https://docs.google.com/uc?id=1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG	/images/interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG.jpeg	/resized/interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG.jpeg	/thumbnails/interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG.jpeg	Kátia Aleixo
5c16775e0a2ce90015467185	1--i87_wNuoy6v2jQJsGxoG1OAnp2alFJFIsUyP12nCs	2018-12-16T16:03:42.711Z	0	Alysicarpus vaginalis	visitedBy	Apidae	Apinae	Meliponini	Mocinha-branca, Marmelada amarela	JMF Camargo, SRM Pedro (2013) Meliponini Lepeletier, 1836. In Moure JS, Urban D & Melo GAR (Orgs). Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region - online version. Available at http://www.moure.cria.org.br/catalogue. Accessed Feb/07/2018| Pedro SRM, Camargo JMF (1999) Hymenoptera, Apiformes. In: Joly CA & Bicudo CEM (Orgs). Biodiversidade do Estado de São Paulo. Volume 5. BIOTA/FAPESP.| Nogueira-Neto P (1997) Vida e criação de abelhas indígenas sem ferrão. Editora Nogueirapis, São Paulo, 445p. 	Frieseomelitta varia	0.14	Aleixo et al (2013)	Ribeirão Preto	São Paulo	Sudeste	Área urbana	Aleixo KP, Faria LB, Garófalo CA, Imperatriz-Fonseca VL, Silva CI (2013) Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier) (Hymenoptera: Apidae) in an urban landscape. Sociobiology 6(3):266-276.	interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG	https://docs.google.com/uc?id=1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG	/images/interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG.jpeg	/resized/interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG.jpeg	/thumbnails/interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG.jpeg	Kátia Aleixo
5c16775e0a2ce90015467186	1--i87_wNuoy6v2jQJsGxoG1OAnp2alFJFIsUyP12nCs	2018-12-16T16:03:42.711Z	0	Anacardium occidentale	visitedBy	Apidae	Apinae	Meliponini	Mocinha-branca, Marmelada amarela	JMF Camargo, SRM Pedro (2013) Meliponini Lepeletier, 1836. In Moure JS, Urban D & Melo GAR (Orgs). Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region - online version. Available at http://www.moure.cria.org.br/catalogue. Accessed Feb/07/2018| Pedro SRM, Camargo JMF (1999) Hymenoptera, Apiformes. In: Joly CA & Bicudo CEM (Orgs). Biodiversidade do Estado de São Paulo. Volume 5. BIOTA/FAPESP.| Nogueira-Neto P (1997) Vida e criação de abelhas indígenas sem ferrão. Editora Nogueirapis, São Paulo, 445p. 	Frieseomelitta varia	0.6	Aleixo et al (2013)	Ribeirão Preto	São Paulo	Sudeste	Área urbana	Aleixo KP, Faria LB, Garófalo CA, Imperatriz-Fonseca VL, Silva CI (2013) Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier) (Hymenoptera: Apidae) in an urban landscape. Sociobiology 6(3):266-276.	interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG	https://docs.google.com/uc?id=1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG	/images/interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG.jpeg	/resized/interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG.jpeg	/thumbnails/interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG.jpeg	Kátia Aleixo
5c16775e0a2ce90015467187	1--i87_wNuoy6v2jQJsGxoG1OAnp2alFJFIsUyP12nCs	2018-12-16T16:03:42.712Z	0	Anadenanthera macrocarpa	visitedBy	Apidae	Apinae	Meliponini	Mocinha-branca, Marmelada amarela	JMF Camargo, SRM Pedro (2013) Meliponini Lepeletier, 1836. In Moure JS, Urban D & Melo GAR (Orgs). Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region - online version. Available at http://www.moure.cria.org.br/catalogue. Accessed Feb/07/2018| Pedro SRM, Camargo JMF (1999) Hymenoptera, Apiformes. In: Joly CA & Bicudo CEM (Orgs). Biodiversidade do Estado de São Paulo. Volume 5. BIOTA/FAPESP.| Nogueira-Neto P (1997) Vida e criação de abelhas indígenas sem ferrão. Editora Nogueirapis, São Paulo, 445p. 	Frieseomelitta varia	29.85	Aleixo et al (2013)	Ribeirão Preto	São Paulo	Sudeste	Área urbana	Aleixo KP, Faria LB, Garófalo CA, Imperatriz-Fonseca VL, Silva CI (2013) Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier) (Hymenoptera: Apidae) in an urban landscape. Sociobiology 6(3):266-276.	interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG	https://docs.google.com/uc?id=1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG	/images/interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG.jpeg	/resized/interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG.jpeg	/thumbnails/interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG.jpeg	Kátia Aleixo
5c16775e0a2ce90015467188	1--i87_wNuoy6v2jQJsGxoG1OAnp2alFJFIsUyP12nCs	2018-12-16T16:03:42.712Z	0	Archontophoenix alexandrae	visitedBy	Apidae	Apinae	Meliponini	Mocinha-branca, Marmelada amarela	JMF Camargo, SRM Pedro (2013) Meliponini Lepeletier, 1836. In Moure JS, Urban D & Melo GAR (Orgs). Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region - online version. Available at http://www.moure.cria.org.br/catalogue. Accessed Feb/07/2018| Pedro SRM, Camargo JMF (1999) Hymenoptera, Apiformes. In: Joly CA & Bicudo CEM (Orgs). Biodiversidade do Estado de São Paulo. Volume 5. BIOTA/FAPESP.| Nogueira-Neto P (1997) Vida e criação de abelhas indígenas sem ferrão. Editora Nogueirapis, São Paulo, 445p. 	Frieseomelitta varia	15.41	Aleixo et al (2013)	Ribeirão Preto	São Paulo	Sudeste	Área urbana	Aleixo KP, Faria LB, Garófalo CA, Imperatriz-Fonseca VL, Silva CI (2013) Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier) (Hymenoptera: Apidae) in an urban landscape. Sociobiology 6(3):266-276.	interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG	https://docs.google.com/uc?id=1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG	/images/interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG.jpeg	/resized/interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG.jpeg	/thumbnails/interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG.jpeg	Kátia Aleixo
5c16775e0a2ce90015467189	1--i87_wNuoy6v2jQJsGxoG1OAnp2alFJFIsUyP12nCs	2018-12-16T16:03:42.712Z	0	Bauhinia longifolia	visitedBy	Apidae	Apinae	Meliponini	Mocinha-branca, Marmelada amarela	JMF Camargo, SRM Pedro (2013) Meliponini Lepeletier, 1836. In Moure JS, Urban D & Melo GAR (Orgs). Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region - online version. Available at http://www.moure.cria.org.br/catalogue. Accessed Feb/07/2018| Pedro SRM, Camargo JMF (1999) Hymenoptera, Apiformes. In: Joly CA & Bicudo CEM (Orgs). Biodiversidade do Estado de São Paulo. Volume 5. BIOTA/FAPESP.| Nogueira-Neto P (1997) Vida e criação de abelhas indígenas sem ferrão. Editora Nogueirapis, São Paulo, 445p. 	Frieseomelitta varia	0.08	Aleixo et al (2013)	Ribeirão Preto	São Paulo	Sudeste	Área urbana	Aleixo KP, Faria LB, Garófalo CA, Imperatriz-Fonseca VL, Silva CI (2013) Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier) (Hymenoptera: Apidae) in an urban landscape. Sociobiology 6(3):266-276.	interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG	https://docs.google.com/uc?id=1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG	/images/interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG.jpeg	/resized/interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG.jpeg	/thumbnails/interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG.jpeg	Kátia Aleixo
5c16775e0a2ce9001546718a	1--i87_wNuoy6v2jQJsGxoG1OAnp2alFJFIsUyP12nCs	2018-12-16T16:03:42.712Z	0	Bidens sulphurea	visitedBy	Apidae	Apinae	Meliponini	Mocinha-branca, Marmelada amarela	JMF Camargo, SRM Pedro (2013) Meliponini Lepeletier, 1836. In Moure JS, Urban D & Melo GAR (Orgs). Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region - online version. Available at http://www.moure.cria.org.br/catalogue. Accessed Feb/07/2018| Pedro SRM, Camargo JMF (1999) Hymenoptera, Apiformes. In: Joly CA & Bicudo CEM (Orgs). Biodiversidade do Estado de São Paulo. Volume 5. BIOTA/FAPESP.| Nogueira-Neto P (1997) Vida e criação de abelhas indígenas sem ferrão. Editora Nogueirapis, São Paulo, 445p. 	Frieseomelitta varia	0.04	Aleixo et al (2013)	Ribeirão Preto	São Paulo	Sudeste	Área urbana	Aleixo KP, Faria LB, Garófalo CA, Imperatriz-Fonseca VL, Silva CI (2013) Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier) (Hymenoptera: Apidae) in an urban landscape. Sociobiology 6(3):266-276.	interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG	https://docs.google.com/uc?id=1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG	/images/interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG.jpeg	/resized/interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG.jpeg	/thumbnails/interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG.jpeg	Kátia Aleixo
5c16775e0a2ce9001546718b	1--i87_wNuoy6v2jQJsGxoG1OAnp2alFJFIsUyP12nCs	2018-12-16T16:03:42.712Z	0	Brunfelsia uniflora	visitedBy	Apidae	Apinae	Meliponini	Mocinha-branca, Marmelada amarela	JMF Camargo, SRM Pedro (2013) Meliponini Lepeletier, 1836. In Moure JS, Urban D & Melo GAR (Orgs). Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region - online version. Available at http://www.moure.cria.org.br/catalogue. Accessed Feb/07/2018| Pedro SRM, Camargo JMF (1999) Hymenoptera, Apiformes. In: Joly CA & Bicudo CEM (Orgs). Biodiversidade do Estado de São Paulo. Volume 5. BIOTA/FAPESP.| Nogueira-Neto P (1997) Vida e criação de abelhas indígenas sem ferrão. Editora Nogueirapis, São Paulo, 445p. 	Frieseomelitta varia	0.15	Aleixo et al (2013)	Ribeirão Preto	São Paulo	Sudeste	Área urbana	Aleixo KP, Faria LB, Garófalo CA, Imperatriz-Fonseca VL, Silva CI (2013) Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier) (Hymenoptera: Apidae) in an urban landscape. Sociobiology 6(3):266-276.	interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG	https://docs.google.com/uc?id=1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG	/images/interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG.jpeg	/resized/interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG.jpeg	/thumbnails/interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG.jpeg	Kátia Aleixo
5c16775e0a2ce9001546718c	1--i87_wNuoy6v2jQJsGxoG1OAnp2alFJFIsUyP12nCs	2018-12-16T16:03:42.712Z	0	Caesalpinia pulcherrima	visitedBy	Apidae	Apinae	Meliponini	Mocinha-branca, Marmelada amarela	JMF Camargo, SRM Pedro (2013) Meliponini Lepeletier, 1836. In Moure JS, Urban D & Melo GAR (Orgs). Catalogue of Bees (Hymenoptera, Apoidea) in the Neotropical Region - online version. Available at http://www.moure.cria.org.br/catalogue. Accessed Feb/07/2018| Pedro SRM, Camargo JMF (1999) Hymenoptera, Apiformes. In: Joly CA & Bicudo CEM (Orgs). Biodiversidade do Estado de São Paulo. Volume 5. BIOTA/FAPESP.| Nogueira-Neto P (1997) Vida e criação de abelhas indígenas sem ferrão. Editora Nogueirapis, São Paulo, 445p. 	Frieseomelitta varia	3.03	Aleixo et al (2013)	Ribeirão Preto	São Paulo	Sudeste	Área urbana	Aleixo KP, Faria LB, Garófalo CA, Imperatriz-Fonseca VL, Silva CI (2013) Pollen collected and foraging activities of Frieseomelitta varia (Lepeletier) (Hymenoptera: Apidae) in an urban landscape. Sociobiology 6(3):266-276.	interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG	https://docs.google.com/uc?id=1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG	/images/interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG.jpeg	/resized/interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG.jpeg	/thumbnails/interaction-1mCI-KUdBTMGsqmSZy9tA1TvMQygrhJMG.jpeg	Kátia Aleixo
